PeakID (cmd=annotatePeaks.pl - hg38 -go results/C16_NA_LUT_Up)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
VGLL4	chr3	11465895	11466791	+	0	NA	intron (NM_001349238, intron 17 of 17)	intron (NM_001349238, intron 17 of 17)	102455	NM_001128221	9686		NM_014667	ENSG00000144560	VGLL4	VGL-4	vestigial like family member 4	protein-coding
MIR4699	chr12	81209627	81210366	+	0	NA	intron (NM_001330243, intron 10 of 16)	MER41B|LTR|ERV1	51608	NR_039848	100616133		NR_039848	ENSG00000265227	MIR4699	-	microRNA 4699	ncRNA
MFSD1	chr3	158926037	158926503	+	0	NA	Intergenic	L2c|LINE|L2	124216	NM_022736	64747		NM_022736	ENSG00000118855	MFSD1	Minerva|SMAP4	major facilitator superfamily domain containing 1	protein-coding
GPM6A	chr4	175851513	175852204	+	0	NA	intron (NM_005277, intron 1 of 7)	LTR85c|LTR|Gypsy?	-38744	NM_201591	2823		NM_005277	ENSG00000150625	GPM6A	GPM6|M6A	glycoprotein M6A	protein-coding
MIR4778	chr2	66251146	66251752	+	0	NA	Intergenic	Intergenic	106879	NR_039938	100616464		NR_039938	ENSG00000264525	MIR4778	-	microRNA 4778	ncRNA
TICRR	chr15	89551354	89552289	+	0	NA	Intergenic	LTR83|LTR|ERVL	-23648	NM_152259	90381		NM_152259	ENSG00000140534	TICRR	C15orf42|SLD3|Treslin	TOPBP1 interacting checkpoint and replication regulator	protein-coding
GLRB	chr4	157121514	157121717	+	0	NA	intron (NM_000824, intron 3 of 9)	intron (NM_000824, intron 3 of 9)	45212	NM_001166060	2743		NM_000824	ENSG00000109738	GLRB	HKPX2	glycine receptor beta	protein-coding
LINC02027	chr3	80951754	80952766	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	-41608	NR_132411	728290		NR_132411		LINC02027	-	long intergenic non-protein coding RNA 2027	ncRNA
HTR1A	chr5	63572057	63572514	+	0	NA	Intergenic	Intergenic	390160	NM_000524	3350		NM_000524	ENSG00000178394	HTR1A	5-HT-1A|5-HT1A|5HT1a|ADRB2RL1|ADRBRL1|G-21|PFMCD	5-hydroxytryptamine receptor 1A	protein-coding
MREG-2	chr2	215998652	215998939	+	0	NA	intron (NM_001372189, intron 1 of 4)	L2c|LINE|L2	14756	NM_001372188	55686		NM_018000	ENSG00000118242	MREG	DSU|WDT2	melanoregulin	protein-coding
DUBR	chr3	107285024	107285798	+	0	NA	intron (NR_028302, intron 1 of 3)	MIR|SINE|MIR	44719	NR_028301	344595		NR_028301	ENSG00000243701	DUBR	DUM|LINC00883|LINC0883	DPPA2 upstream binding RNA	ncRNA
EBLN2	chr3	73200449	73200992	+	0	NA	Intergenic	Intergenic	139061	NM_018029	55096		NM_018029	ENSG00000255423	EBLN2	EBLN-2	endogenous Bornavirus like nucleoprotein 2	protein-coding
ADGRL3-AS1	chr4	62545677	62545993	+	0	NA	Intergenic	Intergenic	-384070	NR_110595	101927186		NR_110595		ADGRL3-AS1	LPHN3-AS1	ADGRL3 antisense RNA 1	ncRNA
MECOM	chr3	169046401	169046998	+	0	NA	Intergenic	Intergenic	98824	NM_001366472	2122		NM_004991	ENSG00000085276	MECOM	AML1-EVI-1|EVI1|KMT8E|MDS1|MDS1-EVI1|PRDM3|RUSAT2	MDS1 and EVI1 complex locus	protein-coding
LINC02200	chr5	112574346	112574918	+	0	NA	Intergenic	Intergenic	-53804	NR_104672	102467214		NR_104672	ENSG00000250358	LINC02200	-	long intergenic non-protein coding RNA 2200	ncRNA
SLC8A1-AS1-2	chr2	40150083	40150834	+	0	NA	intron (NM_001372263, intron 9 of 10)	intron (NM_001372263, intron 9 of 10)	232824	NR_038441	100128590		NR_038441	ENSG00000227028	SLC8A1-AS1	-	SLC8A1 antisense RNA 1	ncRNA
LOC101928936	chr6	88441476	88441752	+	0	NA	Intergenic	Intergenic	97755	NR_110867	101928936		NR_110867		LOC101928936	-	uncharacterized LOC101928936	ncRNA
LINC01485	chr5	173776430	173776907	+	0	NA	Intergenic	Intergenic	14274	NR_108028	101928154		NR_108028	ENSG00000254211	LINC01485	-	long intergenic non-protein coding RNA 1485	ncRNA
LINC01539	chr18	56113157	56114054	+	0	NA	intron (NR_040026, intron 3 of 8)	intron (NR_040026, intron 3 of 8)	23931	NR_040025	100505474		NR_040025	ENSG00000267712	LINC01539	-	long intergenic non-protein coding RNA 1539	ncRNA
FSCB	chr14	44115893	44116685	+	0	NA	Intergenic	L1PB4|LINE|L1	390994	NM_032135	84075		NM_032135	ENSG00000189139	FSCB	C14orf155	fibrous sheath CABYR binding protein	protein-coding
RETREG1	chr5	16750116	16750592	+	0	NA	intron (NM_012334, intron 19 of 40)	intron (NM_012334, intron 19 of 40)	-133296	NM_001034850	54463		NM_019000	ENSG00000154153	RETREG1	FAM134B|JK-1|JK1	reticulophagy regulator 1	protein-coding
CALD1	chr7	134734432	134734787	+	0	NA	Intergenic	THE1B|LTR|ERVL-MaLR	-45025	NM_033138	800		NM_004342	ENSG00000122786	CALD1	CDM|H-CAD|HCAD|L-CAD|LCAD|NAG22|h-CD	caldesmon 1	protein-coding
UMOD	chr16	20363684	20364552	+	0	NA	intron (NM_174924, intron 9 of 11)	intron (NM_174924, intron 9 of 11)	-11403	NM_003361	7369		NM_003361	ENSG00000169344	UMOD	ADMCKD2|ADTKD1|FJHN|HNFJ|HNFJ1|MCKD2|THGP|THP	uromodulin	protein-coding
LINC00972-3	chr7	85704962	85705393	+	0	NA	Intergenic	Intergenic	284055	NR_134240	105375380		NR_134240	ENSG00000225128	LINC00972	-	long intergenic non-protein coding RNA 972	ncRNA
LINC01553	chr10	60003391	60004326	+	0	NA	Intergenic	Intergenic	-42945	NR_024340	283025		NM_001017982	ENSG00000235931	LINC01553	C10orf40	long intergenic non-protein coding RNA 1553	ncRNA
LOC730338	chr7	46342329	46342833	+	0	NA	Intergenic	L1MC3|LINE|L1	354541	NR_134575	730338		NR_134575	ENSG00000233539	LOC730338	-	uncharacterized LOC730338	ncRNA
-5	chr10	4103413	4104182	+	0	NA	Intergenic	Intergenic	52071	NR_120632								
SYT1	chr12	79062199	79062563	+	0	NA	intron (NM_001135805, intron 4 of 11)	intron (NM_001135805, intron 4 of 11)	16689	NM_001135806	6857		NM_005639	ENSG00000067715	SYT1	BAGOS|P65|SVP65|SYT	synaptotagmin 1	protein-coding
-6	chrUn_KI270442v1	188933	189269	+	0	NA	NA	ALR/Alpha|Satellite|centr	NA	NA								
LINC02077-2	chr3	77690266	77690751	+	0	NA	Intergenic	OldhAT1|DNA|hAT-Ac	358455	NR_146636	105377172		NR_146636		LINC02077	-	long intergenic non-protein coding RNA 2077	ncRNA
PLPPR4	chr1	99252465	99253426	+	0	NA	Intergenic	Intergenic	-11347	NM_001166252	9890		NM_014839	ENSG00000117600	PLPPR4	LPPR4|LPR4|PHP1|PRG-1|PRG1	phospholipid phosphatase related 4	protein-coding
LINC02639	chr10	3832351	3833698	+	0	NA	promoter-TSS (NR_134490)	promoter-TSS (NR_134490)	-926	NR_134490	105376365		NR_134490	ENSG00000230573	LINC02639	-	long intergenic non-protein coding RNA 2639	ncRNA
EHF	chr11	34651436	34651845	+	0	NA	intron (NM_001378054, intron 5 of 7)	intron (NM_001378054, intron 5 of 7)	9268	NM_001378046	26298		NM_012153	ENSG00000135373	EHF	ESE3|ESE3B|ESEJ	ETS homologous factor	protein-coding
RGS9	chr17	65208559	65209412	+	0	NA	intron (NM_001165933, intron 16 of 16)	intron (NM_001165933, intron 16 of 16)	71615	NM_001081955	8787		NM_003835	ENSG00000108370	RGS9	PERRS|PERRS1|RGS9L	regulator of G protein signaling 9	protein-coding
CHSY3	chr5	130036370	130037256	+	0	NA	intron (NM_175856, intron 2 of 2)	(TG)n|Simple_repeat|Simple_repeat	132348	NM_175856	337876		NM_175856	ENSG00000198108	CHSY3	CHSY2|CSS3	chondroitin sulfate synthase 3	protein-coding
LINC00824-2	chr8	128427807	128428754	+	0	NA	non-coding (NR_121672, exon 3 of 8)	non-coding (NR_121672, exon 3 of 8)	136399	NR_121672	101927774		NR_121672		LINC00824	LINC01263	long intergenic non-protein coding RNA 824	ncRNA
CALCRL	chr2	187495117	187495729	+	0	NA	intron (NM_006287, intron 3 of 7)	intron (NM_006287, intron 3 of 7)	-47171	NM_005795	10203		NM_005795	ENSG00000064989	CALCRL	CGRPR|CRLR|LMPHM8	calcitonin receptor like receptor	protein-coding
PPP2R1B	chr11	111694816	111695219	+	0	NA	intron (NM_015191, intron 4 of 14)	intron (NM_015191, intron 4 of 14)	71372	NM_001177562	5519		NM_002716	ENSG00000137713	PPP2R1B	PP2A-Abeta|PR65B	protein phosphatase 2 scaffold subunit Abeta	protein-coding
IL1RAPL1	chrX	28766793	28767066	+	0	NA	intron (NM_014271, intron 1 of 10)	L1MA1|LINE|L1	179483	NM_014271	11141		NM_014271	ENSG00000169306	IL1RAPL1	IL-1-RAPL-1|IL-1RAPL-1|IL1R8|IL1RAPL|IL1RAPL-1|MRX10|MRX21|MRX34|OPHN4|TIGIRR-2	interleukin 1 receptor accessory protein like 1	protein-coding
LOC102723971	chr9	135600270	135600679	+	0	NA	Intergenic	L1ME1|LINE|L1	-13709	NM_001375657	102723971		NM_001375657	ENSG00000236543	LOC102723971	-	lipocalin 1-like	protein-coding
DPP4	chr2	162002180	162003310	+	0	NA	intron (NR_166824, intron 23 of 25)	intron (NR_166824, intron 23 of 25)	71470	NM_001379606	1803		NM_001935	ENSG00000197635	DPP4	ADABP|ADCP2|CD26|DPPIV|TP103	dipeptidyl peptidase 4	protein-coding
SERPINB9	chr6	2916479	2917359	+	0	NA	Intergenic	Intergenic	-13610	NM_004155	5272		NM_004155	ENSG00000170542	SERPINB9	CAP-3|CAP3|PI-9|PI9	serpin family B member 9	protein-coding
SCAF11	chr12	46091244	46091583	+	0	NA	Intergenic	PABL_B-int|LTR|ERV1	-100839	NM_004719	9169		NM_004719	ENSG00000139218	SCAF11	CASP11|SFRS2IP|SIP1|SRRP129|SRSF2IP	SR-related CTD associated factor 11	protein-coding
LINC02024	chr3	117705973	117706802	+	0	NA	Intergenic	Intergenic	-15462	NR_146652	105374057		NR_146652	ENSG00000241213	LINC02024	-	long intergenic non-protein coding RNA 2024	ncRNA
PCGEM1-2	chr2	192885629	192885809	+	0	NA	Intergenic	Intergenic	135874	NR_002769	64002		NR_002769	ENSG00000227418	PCGEM1	LINC00071|NCRNA00071|PCAT9	PCGEM1 prostate-specific transcript	ncRNA
RETREG1-2	chr5	16703008	16703559	+	0	NA	intron (NM_012334, intron 22 of 40)	intron (NM_012334, intron 22 of 40)	-86225	NM_001034850	54463		NM_019000	ENSG00000154153	RETREG1	FAM134B|JK-1|JK1	reticulophagy regulator 1	protein-coding
APP	chr21	26281852	26282374	+	0	NA	Intergenic	Charlie2b|DNA|hAT-Charlie	-110985	NM_001136131	351		NM_000484	ENSG00000142192	APP	AAA|ABETA|ABPP|AD1|APPI|CTFgamma|CVAP|PN-II|PN2|alpha-sAPP|preA4	amyloid beta precursor protein	protein-coding
LINC00581	chr6	21115047	21115751	+	0	NA	intron (NM_017774, intron 13 of 15)	intron (NM_017774, intron 13 of 15)	396493	NR_103790	100874531		NR_103790	ENSG00000280989	LINC00581	linc-MBOAT1-4	long intergenic non-protein coding RNA 581	ncRNA
LOC101929563-2	chr9	23275553	23276424	+	0	NA	Intergenic	Intergenic	396411	NR_121602	101929563		NR_121602	ENSG00000283982	LOC101929563	-	uncharacterized LOC101929563	ncRNA
LINC01891	chr2	234448756	234449700	+	0	NA	intron (NR_146988, intron 2 of 2)	MER33|DNA|hAT-Charlie	5367	NR_146988	105373934		NR_146988	ENSG00000231682	LINC01891	-	long intergenic non-protein coding RNA 1891	ncRNA
CSRP3	chr11	19200514	19200909	+	0	NA	intron (NM_001369404, intron 1 of 4)	intron (NM_001369404, intron 1 of 4)	1272	NM_001369404	8048		NM_003476	ENSG00000129170	CSRP3	CLP|CMD1M|CMH12|CRP3|LMO4|MLP	cysteine and glycine rich protein 3	protein-coding
LINC02224	chr5	44555069	44555748	+	0	NA	Intergenic	Intergenic	-45126	NR_131946	102723839		NR_131946		LINC02224	BRCAT107	long intergenic non-protein coding RNA 2224	ncRNA
HSF2-2	chr6	122153616	122153840	+	0	NA	Intergenic	Intergenic	-245823	NM_001135564	3298		NM_004506	ENSG00000025156	HSF2	HSF 2|HSTF 2	heat shock transcription factor 2	protein-coding
LINC01886	chr2	107502539	107504187	+	0	NA	Intergenic	Intergenic	-26056	NR_146968	105373537		NR_146968	ENSG00000224568	LINC01886	-	long intergenic non-protein coding RNA 1886	ncRNA
MIR3942	chr15	35329685	35329902	+	0	NA	Intergenic	Intergenic	42571	NR_037507	100500904		NR_037507	ENSG00000265102	MIR3942	-	microRNA 3942	ncRNA
MAGI2-AS2	chr7	79227141	79227393	+	0	NA	intron (NM_012301, intron 1 of 21)	intron (NM_012301, intron 1 of 21)	218279	NR_046689	100874021		NR_046689	ENSG00000226978	MAGI2-AS2	-	MAGI2 antisense RNA 2	ncRNA
MIR5689	chr6	10480202	10480779	+	0	NA	Intergenic	L1PA11|LINE|L1	40773	NR_049872	100846998		NR_049872	ENSG00000263705	MIR5689	-	microRNA 5689	ncRNA
TRPM3-2	chr9	71392891	71393787	+	0	NA	intron (NM_001366141, intron 1 of 24)	intron (NM_001366141, intron 1 of 24)	53632	NM_001366142	80036		NM_020952	ENSG00000083067	TRPM3	CTRCT50|GON-2|LTRPC3|MLSN2|NEDFSS	transient receptor potential cation channel subfamily M member 3	protein-coding
RBP4	chr10	93593066	93593991	+	0	NA	intron (NM_006744, intron 5 of 5)	intron (NM_006744, intron 5 of 5)	7707	NM_006744	5950		NM_006744	ENSG00000138207	RBP4	MCOPCB10|RDCCAS	retinol binding protein 4	protein-coding
RGSL1	chr1	182450042	182450722	+	0	NA	intron (NM_001137669, intron 1 of 21)	intron (NM_001137669, intron 1 of 21)	236	NM_001137669	353299		NM_032267	ENSG00000121446	RGSL1	RGSL|RGSL2	regulator of G protein signaling like 1	protein-coding
DYDC2	chr10	80343093	80343447	+	0	NA	intron (NM_001370155, intron 3 of 6)	Cheshire|DNA|hAT-Charlie	-1475	NR_070309	84332		NM_032372	ENSG00000133665	DYDC2	-	DPY30 domain containing 2	protein-coding
AGPAT3	chr21	43874110	43874910	+	0	NA	intron (NM_001369878, intron 1 of 8)	L1MEd|LINE|L1	9287	NM_001369878	56894		NM_020132	ENSG00000160216	AGPAT3	1-AGPAT 3|LPAAT-GAMMA1|LPAAT3|LPLAT3	1-acylglycerol-3-phosphate O-acyltransferase 3	protein-coding
LINC02172-3	chr4	137794101	137795239	+	0	NA	Intergenic	Intergenic	248939	NR_146553	105377443		NR_146553	ENSG00000251632	LINC02172	-	long intergenic non-protein coding RNA 2172	ncRNA
GPR34	chrX	41602635	41603073	+	0	NA	intron (NM_001126055, intron 11 of 24)	intron (NM_001126055, intron 11 of 24)	-86119	NM_001097579	2857		NM_005300	ENSG00000171659	GPR34	LPS1|LYPSR1	G protein-coupled receptor 34	protein-coding
LINC02103	chr5	28022447	28022654	+	0	NA	Intergenic	MLT1A1|LTR|ERVL-MaLR	265115	NR_134265	105374698		NR_134265	ENSG00000249785	LINC02103	-	long intergenic non-protein coding RNA 2103	ncRNA
MYADML	chr2	33860027	33860270	+	0	NA	intron (NR_126403, intron 2 of 5)	intron (NR_126403, intron 2 of 5)	-131931	NR_003143	151325		NM_207329	ENSG00000293267	MYADML	-	myeloid associated differentiation marker like (pseudogene)	pseudo
BCHE-2	chr3	165796761	165797136	+	0	NA	intron (NR_137635, intron 1 of 2)	intron (NR_137635, intron 1 of 2)	40475	NR_137636	590		NM_000055	ENSG00000114200	BCHE	BCHED|CHE1|CHE2|E1	butyrylcholinesterase	protein-coding
LINC02941	chr6	139918115	139918557	+	0	NA	Intergenic	Intergenic	-57983	NR_121622	100507477		NR_121622	ENSG00000236013	LINC02941	-	long intergenic non-protein coding RNA 2941	ncRNA
LINC00355	chr13	64910241	64910576	+	0	NA	Intergenic	Intergenic	-834397	NR_145420	144766		NR_145420	ENSG00000227674	LINC00355	-	long intergenic non-protein coding RNA 355	ncRNA
NRAD1	chr13	44049370	44050434	+	0	NA	Intergenic	Intergenic	27567	NR_026955	121838		NR_026955		NRAD1	LINC00284|NCRNA00284	non-coding RNA in the aldehyde dehydrogenase 1A pathway	ncRNA
SNX10-AS1	chr7	26446680	26447851	+	0	NA	intron (NR_148500, intron 2 of 5)	L1ME4b|LINE|L1	-47847	NR_136272	105375304		NR_136270	ENSG00000225792	SNX10-AS1	-	SNX10 antisense RNA 1	ncRNA
MIR663AHG	chr20	26282784	26283330	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	-73824	NR_040095	284801		NR_040095	ENSG00000227195	MIR663AHG	-	MIR663A host gene	ncRNA
ETV1-3	chr7	14340361	14341119	+	0	NA	intron (NM_001350707, intron 22 of 25)	intron (NM_001350707, intron 22 of 25)	-349315	NM_001163148	2115		NM_004956	ENSG00000006468	ETV1	ER81	ETS variant transcription factor 1	protein-coding
BMPR1B	chr4	95027518	95028524	+	0	NA	intron (NM_001256792, intron 1 of 10)	intron (NM_001256792, intron 1 of 10)	-23656	NM_001256793	658		NM_001203	ENSG00000138696	BMPR1B	ALK-6|ALK6|AMD3|AMDD|BDA1D|BDA2|CDw293	bone morphogenetic protein receptor type 1B	protein-coding
RAB28	chr4	13240068	13241141	+	0	NA	Intergenic	Intergenic	243736	NM_004249	9364		NM_004249	ENSG00000157869	RAB28	CORD18	RAB28, member RAS oncogene family	protein-coding
PTPRD-2	chr9	8627757	8628480	+	0	NA	intron (NM_130391, intron 4 of 31)	intron (NM_130391, intron 4 of 31)	105828	NM_130392	5789		NM_002839	ENSG00000153707	PTPRD	HPTP|HPTPD|HPTPDELTA|PTPD|R-PTP-delta|RPTPDELTA	protein tyrosine phosphatase receptor type D	protein-coding
LRRC8B	chr1	89575832	89576425	+	0	NA	intron (NM_001369819, intron 4 of 6)	intron (NM_001369819, intron 4 of 6)	51299	NM_001134476	23507		NM_015350	ENSG00000197147	LRRC8B	TA-LRRP|TALRRP	leucine rich repeat containing 8 VRAC subunit B	protein-coding
SFTA1P	chr10	10667363	10667896	+	0	NA	intron (NM_001326320, intron 1 of 16)	intron (NM_001326320, intron 1 of 16)	127285	NR_027082	207107		NR_027082	ENSG00000225383	SFTA1P	SFTPF	surfactant associated 1, lncRNA	pseudo
MKLN1	chr7	131159981	131161083	+	0	NA	intron (NM_001145354, intron 2 of 18)	(TTA)n|Simple_repeat|Simple_repeat	50438	NM_001145354	4289		NM_013255	ENSG00000128585	MKLN1	TWA2	muskelin 1	protein-coding
MLLT10P1	chr20	30471305	30472096	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	-68238	NR_045115	140678		NR_045115		MLLT10P1	MLLT10L|bA348I14.3	MLLT10 pseudogene 1	pseudo
ESRRG	chr1	217188340	217188873	+	0	NA	Intergenic	Intergenic	-50904	NM_001243511	2104		NM_001438	ENSG00000196482	ESRRG	ERR-gamma|ERR3|ERRg|ERRgamma|NR3B3	estrogen related receptor gamma	protein-coding
LINC01014	chr3	178237975	178238732	+	0	NA	Intergenic	MER5A|DNA|hAT-Charlie	-180848	NR_046786	100874330		NR_046786	ENSG00000223941	LINC01014	KCNMB2-IT1	long intergenic non-protein coding RNA 1014	ncRNA
NEDD9	chr6	11194920	11195583	+	0	NA	intron (NM_001271033, intron 1 of 5)	intron (NM_001271033, intron 1 of 5)	37417	NM_006403	4739		NM_006403	ENSG00000111859	NEDD9	CAS-L|CAS2|CASL|CASS2|HEF1	neural precursor cell expressed, developmentally down-regulated 9	protein-coding
ACO2	chr22	41491213	41491940	+	0	NA	intron (NM_001098, intron 1 of 17)	L3|LINE|CR1	22459	NM_001098	50		NM_001098	ENSG00000100412	ACO2	ACONM|HEL-S-284|ICRD|OCA8|OPA9	aconitase 2	protein-coding
TEK	chr9	27164956	27165814	+	0	NA	intron (NM_000459, intron 2 of 22)	intron (NM_000459, intron 2 of 22)	55935	NM_001375476	7010		NM_000459	ENSG00000120156	TEK	CD202B|GLC3E|TIE-2|TIE2|VMCM|VMCM1	TEK receptor tyrosine kinase	protein-coding
LOC100129617	chr16	81715470	81715926	+	0	NA	Intergenic	L1MA10|LINE|L1	50344	NR_045112	100129617		NR_045112		LOC100129617	-	uncharacterized LOC100129617	ncRNA
NRSN1	chr6	23690623	23691219	+	0	NA	Intergenic	Intergenic	-435294	NM_080723	140767		NM_080723	ENSG00000152954	NRSN1	VMP|p24	neurensin 1	protein-coding
LINC02167	chr16	35703018	35703786	+	0	NA	Intergenic	ALR/Alpha|Satellite|centr	-43150	NR_033985	400533		NR_033985	ENSG00000261122	LINC02167	-	long intergenic non-protein coding RNA 2167	ncRNA
ICE1	chr5	5685309	5685531	+	0	NA	Intergenic	Intergenic	262743	NM_015325	23379		NM_015325	ENSG00000164151	ICE1	KIAA0947	interactor of little elongation complex ELL subunit 1	protein-coding
HACE1	chr6	103621703	103622493	+	0	NA	Intergenic	Intergenic	1237448	NM_001321083	57531		NM_020771	ENSG00000085382	HACE1	SPPRS	HECT domain and ankyrin repeat containing E3 ubiquitin protein ligase 1	protein-coding
FBXW4	chr10	101684854	101685251	+	0	NA	intron (NM_001323541, intron 1 of 8)	intron (NM_001323541, intron 1 of 8)	10118	NM_022039	6468		NM_022039	ENSG00000107829	FBXW4	DAC|FBW4|FBWD4|SHFM3|SHSF3	F-box and WD repeat domain containing 4	protein-coding
PPP1R14C	chr6	150153393	150153577	+	0	NA	intron (NM_030949, intron 1 of 3)	intron (NM_030949, intron 1 of 3)	10441	NM_030949	81706		NM_030949	ENSG00000198729	PPP1R14C	CPI17-like|KEPI|NY-BR-81	protein phosphatase 1 regulatory inhibitor subunit 14C	protein-coding
LOC101929154-2	chr5	78061668	78062094	+	0	NA	intron (NM_003664, intron 22 of 26)	intron (NM_003664, intron 22 of 26)	103634	NR_105013	101929154		NR_105012	ENSG00000287162	LOC101929154	-	uncharacterized LOC101929154	ncRNA
ETV1-4	chr7	13542418	13543359	+	0	NA	Intergenic	L1ME3|LINE|L1	443626	NM_001163150	2115		NM_004956	ENSG00000006468	ETV1	ER81	ETS variant transcription factor 1	protein-coding
SSMEM1	chr7	130227812	130228315	+	0	NA	Intergenic	Intergenic	20203	NM_145268	136263		NM_145268	ENSG00000165120	SSMEM1	C7orf45	serine rich single-pass membrane protein 1	protein-coding
BRD4-2	chr19	15300764	15301193	+	0	NA	intron (NM_001379291, intron 1 of 19)	L1ME1|LINE|L1	-20527	NM_014299	23476		NM_014299	ENSG00000141867	BRD4	CAP|CDLS6|FSHRG4|HUNK1|HUNKI|MCAP	bromodomain containing 4	protein-coding
LINC01019	chr5	3526407	3527397	+	0	NA	intron (NR_033898, intron 2 of 4)	intron (NR_033898, intron 2 of 4)	9192	NR_033898	285577		NR_033898	ENSG00000248118	LINC01019	-	long intergenic non-protein coding RNA 1019	ncRNA
MIR2113	chr6	98136206	98137695	+	0	NA	Intergenic	Intergenic	112419	NR_031579	100302164		NR_031579	ENSG00000238367	MIR2113	hsa-mir-2113	microRNA 2113	ncRNA
FREM1	chr9	14813400	14814134	+	0	NA	intron (NR_163238, intron 16 of 30)	intron (NR_163238, intron 16 of 30)	-33336	NM_001370058	158326		NM_144966	ENSG00000164946	FREM1	BNAR|C9orf143|C9orf145|C9orf154|MOTA|TILRR|TRIGNO2	FRAS1 related extracellular matrix 1	protein-coding
GBE1	chr3	81821619	81822534	+	0	NA	Intergenic	Intergenic	-60431	NM_000158	2632		NM_000158	ENSG00000114480	GBE1	APBD|GBE|GSD4	1,4-alpha-glucan branching enzyme 1	protein-coding
SEMA3C	chr7	80821862	80822203	+	0	NA	intron (NM_001350120, intron 4 of 17)	intron (NM_001350120, intron 4 of 17)	97019	NM_006379	10512		NM_006379	ENSG00000075223	SEMA3C	SEMAE|SemE	semaphorin 3C	protein-coding
KCNE2	chr21	34341492	34341719	+	0	NA	Intergenic	L1MB5|LINE|L1	-22401	NM_172201	9992		NM_005136	ENSG00000159197	KCNE2	ATFB4|LQT5|LQT6|MIRP1	potassium voltage-gated channel subfamily E regulatory subunit 2	protein-coding
LINC01947-3	chr5	166695112	166695684	+	0	NA	Intergenic	Intergenic	230972	NR_108020	102557615		NR_108020	ENSG00000254130	LINC01947	CTB-7E3.1	long intergenic non-protein coding RNA 1947	ncRNA
ACER3	chr11	76902203	76902874	+	0	NA	intron (NM_001300953, intron 1 of 9)	Tigger2|DNA|TcMar-Tigger	41620	NM_001300955	55331		NM_018367	ENSG00000078124	ACER3	APHC|PHCA|PLDECO	alkaline ceramidase 3	protein-coding
LYPLAL1	chr1	219263884	219264999	+	0	NA	Intergenic	Intergenic	89472	NM_001300772	127018		NM_138794	ENSG00000143353	LYPLAL1	Q96AV0	lysophospholipase like 1	protein-coding
UAP1	chr1	162578218	162578632	+	0	NA	intron (NM_001324114, intron 3 of 9)	L1MEg1|LINE|L1	16526	NM_001324114	6675		NM_003115	ENSG00000117143	UAP1	AGX|AGX1|AGX2|SPAG2	UDP-N-acetylglucosamine pyrophosphorylase 1	protein-coding
C1GALT1C1	chrX	120637553	120637750	+	0	NA	Intergenic	L1PREC2|LINE|L1	-7501	NM_152692	29071		NM_152692	ENSG00000171155	C1GALT1C1	AHUS8|C1GALT2|C38H2-L1|COSMC|HSPC067|MST143|TNPS	C1GALT1 specific chaperone 1	protein-coding
PSD3	chr8	18656564	18657181	+	0	NA	intron (NM_015310, intron 9 of 15)	FAM|SINE|Alu	151995	NM_206909	23362		NM_015310	ENSG00000156011	PSD3	EFA6D|EFA6R|HCA67	pleckstrin and Sec7 domain containing 3	protein-coding
ACE2	chrX	15576127	15576544	+	0	NA	intron (NM_001371415, intron 9 of 17)	intron (NM_001371415, intron 9 of 17)	24625	NM_001371415	59272		NM_021804	ENSG00000130234	ACE2	ACEH	angiotensin converting enzyme 2	protein-coding
UBE2E1	chr3	23663112	23663546	+	0	NA	Intergenic	Intergenic	-142626	NM_182666	7324		NM_003341	ENSG00000170142	UBE2E1	UBCH6	ubiquitin conjugating enzyme E2 E1	protein-coding
