PeakID (cmd=annotatePeaks.pl - hg38 -go results/C16_Up_LUT_NA)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
LCORL-2	chr4	18664050	18664570	+	0	NA	Intergenic	Intergenic	-642435	NM_153686	254251		NM_153686	ENSG00000178177	LCORL	MLR1	ligand dependent nuclear receptor corepressor like	protein-coding
LPP-AS1	chr3	188468081	188469509	+	0	NA	intron (NR_164692, intron 3 of 9)	intron (NR_164692, intron 3 of 9)	99871	NR_046623	100873917		NR_046623	ENSG00000224563	LPP-AS1	-	LPP antisense RNA 1	ncRNA
LINC00290	chr4	180617236	180617628	+	0	NA	Intergenic	Intergenic	541717	NR_033918	728081		NR_033918	ENSG00000248197	LINC00290	NCRNA00290	long intergenic non-protein coding RNA 290	ncRNA
TMEM132D	chr12	129607257	129608082	+	0	NA	intron (NM_133448, intron 2 of 8)	intron (NM_133448, intron 2 of 8)	296356	NM_133448	121256		NM_133448	ENSG00000151952	TMEM132D	MOLT|PPP1R153	transmembrane protein 132D	protein-coding
MAP3K20	chr2	173048730	173049471	+	0	NA	intron (NR_164740, intron 30 of 30)	MIRb|SINE|MIR	-26746	NM_133646	51776		NM_016653	ENSG00000091436	MAP3K20	AZK|CNM6|MLK7|MLT|MLTK|MLTKalpha|MLTKbeta|MRK|SFMMP|ZAK|mlklak|pk	mitogen-activated protein kinase kinase kinase 20	protein-coding
LOC101927845	chr8	135004761	135005070	+	0	NA	Intergenic	Intergenic	154980	NR_125427	101927845		NR_125427	ENSG00000251218	LOC101927845	-	uncharacterized LOC101927845	ncRNA
LAMB1	chr7	108014760	108015332	+	0	NA	Intergenic	Intergenic	-11885	NM_002291	3912		NM_002291	ENSG00000091136	LAMB1	CLM|LIS5	laminin subunit beta 1	protein-coding
TMEM74	chr8	108638890	108639142	+	0	NA	intron (NR_136411, intron 2 of 3)	MLT1H|LTR|ERVL-MaLR	148578	NM_153015	157753		NM_153015	ENSG00000164841	TMEM74	NET36	transmembrane protein 74	protein-coding
CSNK1A1L	chr13	37194311	37194876	+	0	NA	Intergenic	L1PA16|LINE|L1	-88929	NM_145203	122011		NM_145203	ENSG00000180138	CSNK1A1L	CK1	casein kinase 1 alpha 1 like	protein-coding
INPP4B	chr4	142752192	142752961	+	0	NA	intron (NM_001385337, intron 1 of 20)	intron (NM_001385337, intron 1 of 20)	93725	NM_001385335	8821		NM_003866	ENSG00000109452	INPP4B	-	inositol polyphosphate-4-phosphatase type II B	protein-coding
PCAT18	chr18	26719580	26720228	+	0	NA	Intergenic	Intergenic	-16266	NR_024259	728606		NR_024259	ENSG00000265369	PCAT18	LINC01092	prostate cancer associated transcript 18	ncRNA
C8orf88	chr8	90919526	90920033	+	0	NA	intron (NM_022351, intron 6 of 12)	intron (NM_022351, intron 6 of 12)	65298	NM_001363275	100127983		NM_001190972	ENSG00000253250	C8orf88	-	chromosome 8 open reading frame 88	protein-coding
LINC01886	chr2	107589150	107589584	+	0	NA	Intergenic	Intergenic	59948	NR_146968	105373537		NR_146968	ENSG00000224568	LINC01886	-	long intergenic non-protein coding RNA 1886	ncRNA
NLGN1-AS1	chr3	173770787	173771408	+	0	NA	intron (NM_001365925, intron 3 of 6)	L2c|LINE|L2	149699	NR_046664	100874010		NR_046664	ENSG00000228213	NLGN1-AS1	-	NLGN1 antisense RNA 1	ncRNA
CDK5RAP2	chr9	120617601	120617844	+	0	NA	intron (NM_001080497, intron 3 of 5)	L2|LINE|L2	-37552	NM_001272039	55755		NM_018249	ENSG00000136861	CDK5RAP2	C48|Cep215|MCPH3	CDK5 regulatory subunit associated protein 2	protein-coding
LRRC8C	chr1	89719696	89720127	+	0	NA	TTS (NM_032270)	TTS (NM_032270)	86791	NM_032270	84230		NM_032270	ENSG00000171488	LRRC8C	AD158|FAD158	leucine rich repeat containing 8 VRAC subunit C	protein-coding
KATNBL1P6	chr6	146905074	146906200	+	0	NA	intron (NR_034115, intron 7 of 10)	intron (NR_034115, intron 7 of 10)	-101813	NR_003954	729176		NR_003954		KATNBL1P6	-	katanin regulatory subunit B1 like 1 pseudogene 6	pseudo
LOC339593	chr20	11451779	11452450	+	0	NA	Intergenic	Intergenic	-178731	NR_038972	339593		NR_038972		LOC339593	-	uncharacterized LOC339593	ncRNA
ATXN1	chr6	16774121	16774727	+	0	NA	Intergenic	Intergenic	-12934	NM_000332	6310		NM_000332	ENSG00000124788	ATXN1	ATX1|D6S504E|SCA1	ataxin 1	protein-coding
DPP4-DT	chr2	162075541	162075939	+	0	NA	intron (NR_147697, intron 2 of 2)	ERVL-E-int|LTR|ERVL	883	NR_147697	100131604		NR_147697		DPP4-DT	-	DPP4 divergent transcript	ncRNA
ADAM19	chr5	157558114	157558527	+	0	NA	intron (NM_033274, intron 3 of 22)	intron (NM_033274, intron 3 of 22)	17455	NM_033274	8728		NM_023038	ENSG00000135074	ADAM19	FKSG34|MADDAM|MLTNB	ADAM metallopeptidase domain 19	protein-coding
LINC01826	chr2	122960907	122961307	+	0	NA	Intergenic	Intergenic	112374	NR_147208	107985818		NR_147208	ENSG00000232740	LINC01826	lnc-MKI67IP-3	long intergenic non-protein coding RNA 1826	ncRNA
TOX2	chr20	44033469	44033667	+	0	NA	intron (NM_032883, intron 4 of 9)	MLT1D|LTR|ERVL-MaLR	87672	NM_001098798	84969		NM_032883	ENSG00000124191	TOX2	C20orf100|GCX-1|GCX1|dJ1108D11.2|dJ495O3.1	TOX high mobility group box family member 2	protein-coding
LINC01720	chr1	190703886	190704360	+	0	NA	intron (NR_033922, intron 1 of 4)	intron (NR_033922, intron 1 of 4)	79233	NR_033922	440704		NR_033922	ENSG00000231175	LINC01720	-	long intergenic non-protein coding RNA 1720	ncRNA
PRDM1	chr6	105757195	105758297	+	0	NA	Intergenic	Intergenic	-328590	NM_001198	639		NM_001198	ENSG00000057657	PRDM1	BLIMP1|PRDI-BF1	PR/SET domain 1	protein-coding
ADAMTS9-AS1	chr3	64492597	64493769	+	0	NA	Intergenic	Intergenic	-68163	NR_110150	101929335		NR_110150	ENSG00000241158	ADAMTS9-AS1	-	ADAMTS9 antisense RNA 1	ncRNA
LINC01159	chr2	104897630	104898169	+	0	NA	Intergenic	Intergenic	-25304	NR_110374	102682016		NR_110373	ENSG00000229743	LINC01159	linc-Brn1b	long intergenic non-protein coding RNA 1159	ncRNA
LINC01111	chr8	76513531	76513857	+	0	NA	intron (NR_105006, intron 4 of 5)	L2a|LINE|L2	107040	NR_105006	101926978		NR_105006	ENSG00000254300	LINC01111	-	long intergenic non-protein coding RNA 1111	ncRNA
RBM43	chr2	151159080	151159617	+	0	NA	Intergenic	Intergenic	102515	NM_198557	375287		NM_198557	ENSG00000184898	RBM43	C2orf38	RNA binding motif protein 43	protein-coding
MYO18B	chr22	25928056	25928315	+	0	NA	intron (NM_001318245, intron 34 of 43)	intron (NM_001318245, intron 34 of 43)	185997	NM_001318245	84700		NM_032608	ENSG00000133454	MYO18B	KFS4	myosin XVIIIB	protein-coding
RFFL	chr17	35075163	35075483	+	0	NA	intron (NR_037713, intron 1 of 6)	intron (NR_037713, intron 1 of 6)	-11616	NM_001017368	117584		NM_057178	ENSG00000092871	RFFL	CARP-2|CARP2|FRING|RIFIFYLIN|RNF189|RNF34L	ring finger and FYVE like domain containing E3 ubiquitin protein ligase	protein-coding
PUM3	chr9	3004585	3004889	+	0	NA	Intergenic	Intergenic	-160642	NM_014878	9933		NM_014878	ENSG00000080608	PUM3	HA-8|HLA-HA8|KIAA0020|PEN|PUF-A|PUF6|XTP5	pumilio RNA binding family member 3	protein-coding
LINC02067	chr3	161415645	161416159	+	0	NA	Intergenic	Intergenic	-10525	NR_102265	101243545		NR_102265	ENSG00000240567	LINC02067	-	long intergenic non-protein coding RNA 2067	ncRNA
LINC02484-2	chr4	34733257	34733925	+	0	NA	Intergenic	AluSx|SINE|Alu	-463844	NR_147184	105374394		NR_147183		LINC02484	-	long intergenic non-protein coding RNA 2484	ncRNA
LINC01753	chr1	55718830	55719485	+	0	NA	Intergenic	Intergenic	225806	NR_147162	105378739		NR_147162	ENSG00000230250	LINC01753	-	long intergenic non-protein coding RNA 1753	ncRNA
MIR4718	chr16	12652149	12652358	+	0	NA	Intergenic	Intergenic	-68068	NR_039869	100616195		NR_039869	ENSG00000264733	MIR4718	-	microRNA 4718	ncRNA
NAA11	chr4	79365820	79366493	+	0	NA	Intergenic	LTR40b|LTR|ERVL	-40095	NM_032693	84779		NM_032693	ENSG00000156269	NAA11	ARD1B|ARD2|hARD2	N-alpha-acetyltransferase 11, NatA catalytic subunit	protein-coding
LOC101928622-2	chr4	33924255	33924605	+	0	NA	intron (NR_125902, intron 4 of 4)	MER61D|LTR|ERV1	115463	NR_125902	101928622		NR_125902	ENSG00000250954	LOC101928622	-	uncharacterized LOC101928622	ncRNA
KDR	chr4	55021136	55021534	+	0	NA	Intergenic	Intergenic	104260	NM_002253	3791		NM_002253	ENSG00000128052	KDR	CD309|FLK1|VEGFR|VEGFR2	kinase insert domain receptor	protein-coding
LINC01985-2	chr3	30352973	30353235	+	0	NA	Intergenic	LTR16D|LTR|ERVL	-165764	NR_147054	101928015		NR_147054	ENSG00000227260	LINC01985	-	long intergenic non-protein coding RNA 1985	ncRNA
CALD1	chr7	134886138	134886371	+	0	NA	intron (NM_033138, intron 3 of 14)	intron (NM_033138, intron 3 of 14)	-5146	NM_033139	800		NM_004342	ENSG00000122786	CALD1	CDM|H-CAD|HCAD|L-CAD|LCAD|NAG22|h-CD	caldesmon 1	protein-coding
MIR3660	chr5	89929324	89931152	+	0	NA	Intergenic	Intergenic	86482	NR_037433	100500825		NR_037433	ENSG00000264342	MIR3660	mir-3660	microRNA 3660	ncRNA
CPA6	chr8	67572256	67572540	+	0	NA	intron (NM_020361, intron 2 of 10)	MSTB2|LTR|ERVL-MaLR	173962	NM_020361	57094		NM_020361	ENSG00000165078	CPA6	CPAH|ETL5|FEB11	carboxypeptidase A6	protein-coding
SNCA	chr4	89619029	89619914	+	0	NA	Intergenic	Intergenic	152263	NM_001375290	6622		NM_000345	ENSG00000145335	SNCA	NACP|PARK1|PARK4|PD1	synuclein alpha	protein-coding
GRM7-AS3	chr3	6294237	6294557	+	0	NA	Intergenic	Intergenic	511052	NR_110123	101927347		NR_110123	ENSG00000226258	GRM7-AS3	-	GRM7 antisense RNA 3	ncRNA
CD44-DT	chr11	35058111	35058743	+	0	NA	Intergenic	LTR16D2|LTR|ERVL	79605	NR_120528	100507144		NR_120528	ENSG00000255521	CD44-DT	-	CD44 divergent transcript	ncRNA
DSC3	chr18	30932883	30933641	+	0	NA	Intergenic	Tigger4|DNA|TcMar-Tigger	109480	NM_001941	1825		NM_001941	ENSG00000134762	DSC3	CDHF3|DSC|DSC1|DSC2|DSC4|HT-CP	desmocollin 3	protein-coding
IPMK	chr10	58027568	58028072	+	0	NA	Intergenic	MLT1E2|LTR|ERVL-MaLR	240074	NM_152230	253430		NM_152230	ENSG00000151151	IPMK	-	inositol polyphosphate multikinase	protein-coding
SLC1A3-2	chr5	36523657	36524332	+	0	NA	Intergenic	Intergenic	-82361	NM_001289939	6507		NM_004172	ENSG00000079215	SLC1A3	EA6|EAAT1|GLAST|GLAST1	solute carrier family 1 member 3	protein-coding
CCL20	chr2	227818135	227818534	+	0	NA	TTS (NM_001130046)	TTS (NM_001130046)	4492	NM_001130046	6364		NM_004591	ENSG00000115009	CCL20	CKb4|Exodus|LARC|MIP-3-alpha|MIP-3a|MIP3A|SCYA20|ST38	C-C motif chemokine ligand 20	protein-coding
PRDM14	chr8	70077120	70077547	+	0	NA	Intergenic	MER89-int|LTR|ERV1	-6081	NM_024504	63978		NM_024504	ENSG00000147596	PRDM14	PFM11	PR/SET domain 14	protein-coding
PANCR	chr4	110609081	110609809	+	0	NA	intron (NR_147204, intron 1 of 3)	intron (NR_147204, intron 1 of 3)	6013	NR_147204	110231149		NR_147203	ENSG00000250103	PANCR	-	PITX2 adjacent non-coding RNA	ncRNA
MIR125B2	chr21	17002578	17003574	+	0	NA	Intergenic	Intergenic	412839	NR_029694	406912		NR_029694	ENSG00000207863	MIR125B2	MIRN125B2|mir-125b-2	microRNA 125b-2	ncRNA
SNHG27	chr4	132056023	132057271	+	0	NA	Intergenic	L1MEg1|LINE|L1	291809	NR_125884	101927305		NR_125883	ENSG00000251676	SNHG27	-	small nucleolar RNA host gene 27	ncRNA
NR2F1-AS1	chr5	92676231	92676848	+	0	NA	Intergenic	Intergenic	894804	NR_109825	441094		NR_015369	ENSG00000237187	NR2F1-AS1	-	NR2F1 antisense RNA 1	ncRNA
GJA1	chr6	121890396	121890924	+	0	NA	Intergenic	Intergenic	455014	NM_000165	2697		NM_000165	ENSG00000152661	GJA1	AVSD3|CMDR|CX43|EKVP|EKVP3|GJAL|HLHS1|HSS|ODDD|PPKCA	gap junction protein alpha 1	protein-coding
ALMS1-IT1	chr2	73494026	73494304	+	0	NA	intron (NM_015120, intron 10 of 22)	MLT1F2|LTR|ERVL-MaLR	37062	NR_046762	100874291		NR_046762	ENSG00000230002	ALMS1-IT1	-	ALMS1 intronic transcript 1	ncRNA
NEBL	chr10	21112000	21112280	+	0	NA	intron (NM_001377324, intron 2 of 6)	L1PA6|LINE|L1	60839	NM_001377323	10529		NM_006393	ENSG00000078114	NEBL	C10orf113|LASP2|LNEBL|bA165O3.1	nebulette	protein-coding
LINC01539	chr18	56105607	56105940	+	0	NA	intron (NR_040026, intron 3 of 8)	MIRb|SINE|MIR	31763	NR_040025	100505474		NR_040025	ENSG00000267712	LINC01539	-	long intergenic non-protein coding RNA 1539	ncRNA
NEK7	chr1	198220615	198220796	+	0	NA	intron (NM_133494, intron 1 of 9)	intron (NM_133494, intron 1 of 9)	63707	NM_133494	140609		NM_133494	ENSG00000151414	NEK7	-	NIMA related kinase 7	protein-coding
LOC102724612	chr8	63464211	63464679	+	0	NA	Intergenic	Intergenic	-1404	NR_125825	102724612		NR_125825	ENSG00000253894	LOC102724612	-	uncharacterized LOC102724612	ncRNA
CASC21	chr8	127269656	127270036	+	0	NA	intron (NR_117099, intron 1 of 3)	intron (NR_117099, intron 1 of 3)	25209	NR_117099	103021164		NR_117099		CASC21	CARLO2|CARLo-2|LINC01244	cancer susceptibility 21	ncRNA
LINC01734	chr20	39097825	39098070	+	0	NA	Intergenic	AluJb|SINE|Alu	126801	NR_027124	339568		NR_027124	ENSG00000230324	LINC01734	-	long intergenic non-protein coding RNA 1734	ncRNA
CNBD1	chr8	87085557	87086292	+	0	NA	intron (NM_173538, intron 4 of 10)	intron (NM_173538, intron 4 of 10)	219509	NM_173538	168975		NM_173538	ENSG00000176571	CNBD1	-	cyclic nucleotide binding domain containing 1	protein-coding
C9orf72	chr9	27765726	27766354	+	0	NA	Intergenic	Intergenic	-192174	NM_001256054	203228		NM_018325	ENSG00000147894	C9orf72	ALSFTD|DENND9|DENNL72|FTDALS|FTDALS1	C9orf72-SMCR8 complex subunit	protein-coding
SH3RF2	chr5	145946111	145946798	+	0	NA	intron (NM_152550, intron 2 of 9)	intron (NM_152550, intron 2 of 9)	9876	NM_152550	153769		NM_152550	ENSG00000156463	SH3RF2	HEPP1|POSHER|PPP1R39|RNF158	SH3 domain containing ring finger 2	protein-coding
PAPSS2	chr10	87586220	87586407	+	0	NA	Intergenic	LTR44|LTR|ERV1	-73565	NM_004670	9060		NM_004670	ENSG00000198682	PAPSS2	ATPSK2|BCYM4|SK2	3'-phosphoadenosine 5'-phosphosulfate synthase 2	protein-coding
TM4SF4	chr3	149425996	149426616	+	0	NA	Intergenic	Intergenic	-48391	NM_004617	7104		NM_004617	ENSG00000169903	TM4SF4	ILTMP|il-TMP	transmembrane 4 L six family member 4	protein-coding
VSIG10L2	chr11	125990207	125990704	+	0	NA	intron (NM_001243597, intron 14 of 19)	intron (NM_001243597, intron 14 of 19)	44399	NM_001365077	338667		NM_001365077	ENSG00000283703	VSIG10L2	-	V-set and immunoglobulin domain containing 10 like 2	protein-coding
MIR4268	chr2	219916728	219917351	+	0	NA	Intergenic	Intergenic	-10474	NR_036228	100422959		NR_036228	ENSG00000266518	MIR4268	-	microRNA 4268	ncRNA
PRIMA1	chr14	93809810	93810480	+	0	NA	Intergenic	Intergenic	-21660	NM_178013	145270		NM_178004	ENSG00000175785	PRIMA1	PRIMA	proline rich membrane anchor 1	protein-coding
DNAJC1	chr10	21927141	21927421	+	0	NA	intron (NM_022365, intron 3 of 11)	intron (NM_022365, intron 3 of 11)	76449	NM_022365	64215		NM_022365	ENSG00000136770	DNAJC1	DNAJL1|ERdj1|HTJ1|MTJ1	DnaJ heat shock protein family (Hsp40) member C1	protein-coding
GCNT1	chr9	76526155	76526550	+	0	NA	Intergenic	LTR82A|LTR|ERVL	25719	NM_001097636	2650		NM_001490	ENSG00000187210	GCNT1	C2GNT|C2GNT-L|C2GNT1|C2GlcNAcT|G6NT|NACGT2|NAGCT2	glucosaminyl (N-acetyl) transferase 1	protein-coding
RABGAP1L	chr1	174812766	174813268	+	0	NA	intron (NM_001366447, intron 19 of 20)	L2a|LINE|L2	13279	NM_001366454	9910		NM_014857	ENSG00000152061	RABGAP1L	HHL|TBC1D18	RAB GTPase activating protein 1 like	protein-coding
LOC100506858	chr5	2282677	2283086	+	0	NA	Intergenic	Intergenic	29320	NR_104616	100506858		NR_104616		LOC100506858	-	uncharacterized LOC100506858	ncRNA
PGBP	chr1	111388889	111389236	+	0	NA	intron (NR_029429, intron 2 of 4)	intron (NR_029429, intron 2 of 4)	789	NR_029429	441897		NR_029429	ENSG00000290561	PGBP	PGCP1	pepsinogen B, pseudogene	pseudo
PPP1R2P2	chr21	35838369	35838671	+	0	NA	Intergenic	ERV3-16A3_I-int|LTR|ERVL	-47925	NR_144547	54036		NR_144547		PPP1R2P2	-	protein phosphatase 1 regulatory inhibitor subunit 2 pseudogene 2	pseudo
PLEKHA5	chr12	19273461	19274365	+	0	NA	intron (NM_001256470, intron 10 of 31)	MIR|SINE|MIR	68588	NM_001256787	54477		NM_019012	ENSG00000052126	PLEKHA5	PEPP-2|PEPP2	pleckstrin homology domain containing A5	protein-coding
SORBS2	chr4	185792886	185793287	+	0	NA	intron (NM_021069, intron 1 of 20)	intron (NM_021069, intron 1 of 20)	-17232	NM_001145673	8470		NM_003603	ENSG00000154556	SORBS2	ARGBP2|PRO0618	sorbin and SH3 domain containing 2	protein-coding
LINC02650	chr10	83076404	83076911	+	0	NA	Intergenic	LTR33|LTR|ERVL	600432	NR_134317	105378397		NR_134317	ENSG00000233945	LINC02650	-	long intergenic non-protein coding RNA 2650	ncRNA
MIR548F3-3	chr5	110353749	110355107	+	0	NA	Intergenic	Intergenic	159487	NR_031644	100302159		NR_031644	ENSG00000221436	MIR548F3	MIR548F-3|MIRN548F3|hsa-mir-548f-3	microRNA 548f-3	ncRNA
ARL5B	chr10	18712888	18713559	+	0	NA	Intergenic	Intergenic	53792	NM_178815	221079		NM_178815	ENSG00000165997	ARL5B	ARL8	ADP ribosylation factor like GTPase 5B	protein-coding
EPGN	chr4	74283377	74284379	+	0	NA	intron (NM_001144978, intron 7 of 7)	intron (NM_001144978, intron 7 of 7)	-24592	NM_001270992	255324		NM_001013442	ENSG00000182585	EPGN	ALGV3072|EPG|PRO9904	epithelial mitogen	protein-coding
DDX10	chr11	109000599	109000866	+	0	NA	Intergenic	L1M1|LINE|L1	335663	NM_004398	1662		NM_004398	ENSG00000178105	DDX10	Dbp4|HRH-J8	DEAD-box helicase 10	protein-coding
LINC00173	chr12	116527983	116528345	+	0	NA	Intergenic	L1ME4a|LINE|L1	-5258	NR_027345	100287569		NM_207436	ENSG00000196668	LINC00173	NCRNA00173	long intergenic non-protein coding RNA 173	ncRNA
LRP1B	chr2	142065376	142066311	+	0	NA	intron (NM_018557, intron 1 of 90)	MLT1D-int|LTR|ERVL-MaLR	65173	NM_018557	53353		NM_018557	ENSG00000168702	LRP1B	LRP-1B|LRP-DIT|LRPDIT	LDL receptor related protein 1B	protein-coding
SYCE1L	chr16	77298571	77299194	+	0	NA	intron (NM_199355, intron 17 of 22)	intron (NM_199355, intron 17 of 22)	99474	NM_001129979	100130958		NM_001129979	ENSG00000205078	SYCE1L	MRP2	synaptonemal complex central element protein 1 like	protein-coding
RPL13AP17	chr7	78151234	78151696	+	0	NA	intron (NM_012301, intron 16 of 21)	intron (NM_012301, intron 16 of 21)	-195777	NR_003680	399670		NR_003680	ENSG00000293158	RPL13AP17	RPL13A_6_816	ribosomal protein L13a pseudogene 17	pseudo
SNTG1	chr8	50126969	50127673	+	0	NA	intron (NR_135798, intron 1 of 15)	intron (NR_135798, intron 1 of 15)	-36810	NM_001321778	54212		NM_018967	ENSG00000147481	SNTG1	G1SYN|SYN4	syntrophin gamma 1	protein-coding
NOS1	chr12	117550893	117551110	+	0	NA	intron (NM_173598, intron 9 of 19)	MLT1M|LTR|ERVL-MaLR	-189199	NM_001204218	4842		NM_000620	ENSG00000089250	NOS1	IHPS1|N-NOS|NC-NOS|NOS|bNOS|nNOS	nitric oxide synthase 1	protein-coding
MMP16	chr8	88715601	88716232	+	0	NA	Intergenic	Intergenic	-388433	NM_005941	4325		NM_005941	ENSG00000156103	MMP16	C8orf57|MMP-X2|MT-MMP2|MT-MMP3|MT3-MMP	matrix metallopeptidase 16	protein-coding
RGL1	chr1	183881568	183882114	+	0	NA	intron (NM_015149, intron 6 of 18)	intron (NM_015149, intron 6 of 18)	76721	NM_001297671	23179		NM_015149	ENSG00000143344	RGL1	RGL	ral guanine nucleotide dissociation stimulator like 1	protein-coding
CEP112	chr17	65742595	65743003	+	0	NA	intron (NR_126542, intron 2 of 5)	intron (NR_126542, intron 2 of 5)	83652	NM_001037325	201134		NM_145036	ENSG00000154240	CEP112	CCDC46|MACOCO|SPGF44	centrosomal protein 112	protein-coding
JMJD1C	chr10	63889327	63890349	+	0	NA	Intergenic	Intergenic	-367948	NM_001318154	221037		NM_004241	ENSG00000171988	JMJD1C	KDM3C|TRIP-8|TRIP8	jumonji domain containing 1C	protein-coding
BRINP3-2	chr1	189657117	189658610	+	0	NA	Intergenic	Intergenic	818147	NM_001317188	339479		NM_199051	ENSG00000162670	BRINP3	DBCCR1L|DBCCR1L1|FAM5C	BMP/retinoic acid inducible neural specific 3	protein-coding
LINC01854	chr2	129248149	129248659	+	0	NA	intron (NR_122040, intron 2 of 4)	MLT1J1|LTR|ERVL-MaLR	25487	NR_122040	151121		NM_001033657	ENSG00000204460	LINC01854	-	long intergenic non-protein coding RNA 1854	ncRNA
EML6	chr2	54856992	54858288	+	0	NA	intron (NM_001039753, intron 10 of 40)	L2a|LINE|L2	132628	NM_001039753	400954		NM_001039753	ENSG00000214595	EML6	-	EMAP like 6	protein-coding
TXK	chr4	48119721	48120039	+	0	NA	intron (NM_003328, intron 1 of 14)	intron (NM_003328, intron 1 of 14)	14370	NM_003328	7294		NM_003328	ENSG00000074966	TXK	BTKL|PSCTK5|PTK4|RLK|TKL	TXK tyrosine kinase	protein-coding
TRIM54	chr2	27293098	27293640	+	0	NA	intron (NM_187841, intron 1 of 8)	intron (NM_187841, intron 1 of 8)	10940	NM_032546	57159		NM_032546	ENSG00000138100	TRIM54	MURF|MURF-3|RNF30|muRF3	tripartite motif containing 54	protein-coding
CNTN5	chr11	98615473	98616684	+	0	NA	Intergenic	Intergenic	-404871	NM_001243271	53942		NM_014361	ENSG00000149972	CNTN5	HNB-2s|NB-2	contactin 5	protein-coding
USH2A-AS2	chr1	216183079	216183563	+	0	NA	intron (NM_206933, intron 20 of 71)	intron (NM_206933, intron 20 of 71)	110856	NR_125993	102723833		NR_125992	ENSG00000233620	USH2A-AS2	-	USH2A antisense RNA 2	ncRNA
MANCR	chr10	4686012	4687058	+	0	NA	Intergenic	L2a|LINE|L2	-8465	NR_024475	100216001		NR_024475	ENSG00000231298	MANCR	LINC00704	mitotically associated long non coding RNA	ncRNA
TRD-AS1	chr14	22512722	22513762	+	0	NA	Intergenic	Intergenic	-30283	NR_148361	105370401		NR_148361	ENSG00000251002	TRD-AS1	-	TRD antisense RNA 1	ncRNA
NHLRC3	chr13	39148352	39148967	+	0	NA	Intergenic	Intergenic	110203	NM_001012754	387921		NM_001012754	ENSG00000188811	NHLRC3	-	NHL repeat containing 3	protein-coding
LINC01428	chr20	7195384	7196069	+	0	NA	intron (NR_110609, intron 3 of 7)	intron (NR_110609, intron 3 of 7)	58476	NR_110609	101929265		NR_110609	ENSG00000228888	LINC01428	-	long intergenic non-protein coding RNA 1428	ncRNA
C1orf105	chr1	172351526	172352180	+	0	NA	intron (NM_015569, intron 17 of 20)	intron (NM_015569, intron 17 of 20)	-68832	NM_139240	92346		NM_139240	ENSG00000180999	C1orf105	-	chromosome 1 open reading frame 105	protein-coding
YTHDC2	chr5	113757034	113757830	+	0	NA	Intergenic	LTR50|LTR|ERVL	243738	NM_001345976	64848		NM_022828	ENSG00000047188	YTHDC2	CAHL|hYTHDC2	YTH N6-methyladenosine RNA binding protein C2	protein-coding
LINC02121	chr5	5066278	5066704	+	0	NA	intron (NR_026994, intron 4 of 6)	MER5A|DNA|hAT-Charlie	11820	NR_134266	105374631		NR_134266	ENSG00000250529	LINC02121	-	long intergenic non-protein coding RNA 2121	ncRNA
RPS29	chr14	49408390	49409261	+	0	NA	Intergenic	Intergenic	177555	NM_001032	6235		NM_001032	ENSG00000213741	RPS29	DBA13|S29|uS14	ribosomal protein S29	protein-coding
TSHZ2	chr20	53365643	53366334	+	0	NA	intron (NM_173485, intron 2 of 2)	intron (NM_173485, intron 2 of 2)	180705	NM_001193421	128553		NM_173485	ENSG00000182463	TSHZ2	C20orf17|OVC10-2|TSH2|ZABC2|ZNF218	teashirt zinc finger homeobox 2	protein-coding
USP15	chr12	62251507	62251837	+	0	NA	Intergenic	LTR16A|LTR|ERVL	-8668	NM_001351162	9958		NM_006313	ENSG00000135655	USP15	UNPH-2|UNPH4	ubiquitin specific peptidase 15	protein-coding
SYT4	chr18	43869782	43869983	+	0	NA	Intergenic	Intergenic	-592392	NM_020783	6860		NM_020783	ENSG00000132872	SYT4	HsT1192	synaptotagmin 4	protein-coding
LOC105375690	chr8	103546407	103546968	+	0	NA	intron (NM_001348496, intron 1 of 23)	L1PA15|LINE|L1	-44777	NR_145698	105375690		NR_145697		LOC105375690	-	uncharacterized LOC105375690	ncRNA
RASEF-2	chr9	82621339	82621773	+	0	NA	Intergenic	Intergenic	441586	NM_152573	158158		NM_152573	ENSG00000165105	RASEF	RAB45|TSG	RAS and EF-hand domain containing	protein-coding
MMD	chr17	55452615	55453132	+	0	NA	Intergenic	Intergenic	-31038	NM_012329	23531		NM_012329	ENSG00000108960	MMD	MMA|MMD1|PAQR11	monocyte to macrophage differentiation associated	protein-coding
LOC105372028	chr18	24836913	24837803	+	0	NA	Intergenic	Intergenic	111577	NR_134604	105372028		NR_134604		LOC105372028	-	uncharacterized LOC105372028	ncRNA
HIVEP3	chr1	41856453	41857605	+	0	NA	intron (NR_038260, intron 1 of 2)	intron (NR_038260, intron 1 of 2)	61893	NM_001127714	59269		NM_024503	ENSG00000127124	HIVEP3	KBP-1|KBP1|KRC|SHN3|Schnurri-3|ZAS3|ZNF40C	HIVEP zinc finger 3	protein-coding
MIR8068-2	chr11	28835990	28836727	+	0	NA	Intergenic	Intergenic	-358810	NR_107035	102466876		NR_107035	ENSG00000273912	MIR8068	hsa-mir-8068	microRNA 8068	ncRNA
